title	Downloaded	Time	artist	album	Genre	Loved	Plays
Being Alive		5:07	2006 Broadway Revival Cast	Company (2006 Broadway Revival Cast)	Musicals	0
Whatever Lola Wants		3:15	Gwen Verdon	Damn Yankees (Original Soundtrack) [Remastered]	Soundtrack	0
They Say It's Wonderful		3:42	Annie Get Your Gun - The 1999 Broadway Cast	Annie Get Your Gun - The New Broadway Cast Recording (Staring Bernadette Peters)	Pop	0
Alexander Hamilton		3:57	Leslie Odom, Jr., Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, Phillipa Soo, Christopher Jackson & Original Broadway Cast of Hamilton	Hamilton (Original Broadway Cast Recording)	Soundtrack	0	7
One (Reprise) / Finale		5:12	A Chorus Line Ensemble	A Chorus Line - 40th Anniversary Celebration (Original Broadway Cast Recording)	Soundtrack	0
Don't Rain On My Parade		2:44	Barbra Streisand	The Essential Barbra Streisand	Vocal	0
Corner of the Sky		2:56	Matthew James Thomas	Pippin (New Broadway Cast Recording)	Soundtrack	0
Something's Coming		2:27	Matt Cavenaugh	West Side Story (New Broadway Cast Recording - 2009)	Soundtrack	0
Overture		4:45	2003 Broadway Cast of "Gypsy"	Gypsy (2003 Broadway Cast)	Musicals	0
42nd Street		7:25	Wanda Richert, Lee Roy Reams & 42nd Street Ensemble	42nd Street - Original Broadway Cast Recording	Soundtrack	0
